,PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr,ListsPlanetIsOn,Luminosity_of_Host_Star,Runaway_Greenhouse_S_eff,Maximum_Greenhouse_S_eff,Runaway_Greenhouse,Maximum_Greenhouse,IsInHabitableZone
145,KELT-10 b,0.0,0.679,1.399,4.166286,0.0525,0.0,,,,88.63,1377.0,,transit,2015.0,15/09/08,18 58 11.601,-47 00 11.68,183.0,1.112,1.209,0.09,5948.0,,Confirmed planets,1.6166814934532963,1.212514703352201,0.36639959651161086,1.1546988321740113,2.1005583018663625,False
146,Gliese 3634 b,0.0,0.022,,2.64561,0.0287,0.08,,,,59.0,565.4,,RV,2011.0,11/02/07,10 58 35,-31 08 39,19.8,0.45,0.43,,3314.0,,Confirmed planets,0.019707655103545337,0.9872977634154436,0.24148996335360068,0.14128413597558676,0.2856721700436495,False
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,HD 156279 b,0.0,9.71,,131.05,0.495,0.708,,,,,327.8,,RV,2011.0,11/11/04,17 12 23,+63 21 08,36.6,0.93,,0.14,5453.0,,Confirmed planets,,1.1432359926134246,0.33610784166637864,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,Kepler-8 b,0.0,0.59,1.42,3.52254,0.0483,0.0,,,,84.07,1519.5,,transit,2010.0,15/12/03,18 45 09,+42 27 04,1330.0,1.13,1.45,0.05,6251.0,,Confirmed planets,2.836756285578926,1.2583010823252005,0.3850805097501978,1.5014771517038152,2.7141587382930386,False
160,HAT-P-56 b,0.0,2.18,1.466,2.7908327,0.0423,,,,,82.13,1840.0,,transit,2015.0,15/06/05,06 43 23.52950,+27 15 08.2182,310.5,1.296,1.428,,6566.0,2.01,Confirmed planets,3.349252993453597,1.3063062083502803,0.4037873862011911,1.6012217536899958,2.8800339222466556,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,HD 12661 b,0.0,2.3,,263.6,0.83,0.377,,,,,291.4,,RV,2000.0,11/01/04,02 04 34,+25 24 51,37.16,1.07,1.12,0.29,5742.0,,Confirmed planets,1.204971634944,1.1825797055496325,0.3536576462301927,1.009423011538583,1.8458520396851743,False
167,HD 12661 c,0.0,1.57,,1708.0,2.56,0.031,,,,,167.5,,RV,2002.0,11/01/04,02 04 34,+25 24 51,37.16,1.07,1.12,0.29,5742.0,,Confirmed planets,1.204971634944,1.1825797055496325,0.3536576462301927,1.009423011538583,1.8458520396851743,False
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,HD 128311 b,0.0,1.83,,460.1,,0.3,-76.2,259.2,,63.8,177.7,,RV,2002.0,15/01/08,14 36 00,+09 44 47,16.6,0.828,0.73,0.08,4965.0,,Confirmed planets,0.28616120591827454,1.0861755723445474,0.3083194540340265,0.513281206290884,0.9633961679715763,
171,HD 128311 c,0.0,3.2,,910.7,,0.12,-19.7,184.2,,63.8,140.7,,RV,2005.0,15/01/08,14 36 00,+09 44 47,16.6,0.828,0.73,0.08,4965.0,,Confirmed planets,0.28616120591827454,1.0861755723445474,0.3083194540340265,0.513281206290884,0.9633961679715763,
172,WASP-49 b,0.0,0.378,1.115,2.7817387,0.0379,0.0,,,,84.89,1369.0,,transit,2011.0,12/05/15,06 04 21,-16 57 55,170.0,0.938,0.976,-0.23,5600.0,,Confirmed planets,0.8278273470600794,1.16280585743616,0.3449652806948,0.8437548440513913,1.549109762488861,False
